11-Jun,273100
11-Jul,270300
11-Aug,259300
11-Sep,255400
11-Oct,258300
11-Nov,250000
11-Dec,262900
12-Jan,265700
12-Feb,274000
12-Mar,283600
12-Apr,287900
12-May,280900
12-Jun,271800
12-Jul,282300
12-Aug,305500
12-Sep,297700
12-Oct,285400
12-Nov,290700
12-Dec,299200
13-Jan,306900
13-Feb,312500
13-Mar,300200
13-Apr,337000
13-May,314000
13-Jun,306100
13-Jul,329900
13-Aug,310800
13-Sep,321400
13-Oct,335700
13-Nov,335600
13-Dec,321200
14-Jan,337300
14-Feb,325900
14-Mar,331500
14-Apr,325100
14-May,323500
14-Jun,338100
14-Jul,345200
14-Aug,356200
14-Sep,319100
14-Oct,377500
14-Nov,348900
14-Dec,373200
15-Jan,348300
15-Feb,346300
15-Mar,349300
15-Apr,340400
15-May,336200
15-Jun,326900
15-Jul,341200
15-Aug,343300
15-Sep,357200
15-Oct,368900
15-Nov,373200
15-Dec,352500
16-Jan,361200
16-Feb,341700
16-Mar,359000
16-Apr,369300
16-May,349700
16-Jun,357800
16-Jul,353000
16-Aug,355100
16-Sep,366100
16-Oct,352200
16-Nov,363400
16-Dec,382500
17-Jan,357700
17-Feb,370500
17-Mar,384400
17-Apr,365800
17-May,378400
17-Jun,370600
17-Jul,372400
17-Aug,369200
17-Sep,379300
17-Oct,394000
17-Nov,388500
17-Dec,402900
18-Jan,377800
18-Feb,373600
18-Mar,369200
18-Apr,385100
18-May,372600
18-Jun,370100
18-Jul,392300
18-Aug,380900
18-Sep,386400
18-Oct,394900
18-Nov,367100
18-Dec,381800
19-Jan,361100
19-Feb,383600
19-Mar,372700
19-Apr,385400
19-May,379100
19-Jun,361900
19-Jul,373500
19-Aug,392700
19-Sep,372100
19-Oct,380300
19-Nov,384400
19-Dec,377700
20-Jan,384000
20-Feb,386200
20-Mar,375400
20-Apr,360300
20-May,368700
20-Jun,382200
20-Jul,379100
20-Aug,386300
20-Sep,405100
20-Oct,394600
20-Nov,396100
20-Dec,401700
21-Jan,418600
21-Feb,407500
21-Mar,414700
21-Apr,434800
21-May,445300
21-Jun,431900
21-Jul,462100
21-Aug,470000
21-Sep,470600
21-Oct,487700
21-Nov,486000
21-Dec,482300
